,gene,lr,p,ddf,p_corrected
0,A1BG,0.1288953114412834,0.71958017853305,1.0,0.917421299985058
1,A1CF,0.7216169212551904,0.3956140413346815,1.0,0.760192480624853
2,A2M,1.9402613906302122,0.16364015552986966,1.0,0.5628052088454586
3,A2ML1,0.987876075997292,0.3202620346918637,1.0,0.7099149973792676
4,A3GALT2,4.083914024116893,0.043293263441251825,1.0,0.34633143178594955
5,A4GALT,0.15602973846125678,0.6928384614152445,1.0,0.9083734903883414
6,A4GNT,0.8403704938555165,0.35929083089911384,1.0,0.7373783934447128
7,AAAS,0.0031199186455523886,0.9554563382210367,1.0,0.9891138130077693
8,AACS,2.4153022804989632,0.12015477444574271,1.0,0.5073391495682024
9,AADAC,0.04969730848688414,0.8235908188790784,1.0,0.9510628841088662
10,AADACL2,0.4135075093083742,0.5201945794295437,1.0,0.8348197752460815
11,AADACL3,0.039128561453708244,0.8431941859683156,1.0,0.9569250051038642
12,AADACL4,10.783382478133717,0.0010241536023639,1.0,0.07067057578414626
13,AADAT,5.3844645572576155,0.020316822084216927,1.0,0.2542322001848671
14,AAGAB,0.938530301708397,0.3326560972671847,1.0,0.7184137081653628
15,AAK1,0.3028217719488566,0.5821188071949793,1.0,0.8642494128161539
16,AAMDC,0.08593329022369289,0.769412235401403,1.0,0.9337170831629182
17,AAMP,3.271654353560052,0.07048650906960655,1.0,0.41344972927208756
18,AANAT,3.419856477797566,0.06441661331278596,1.0,0.3988962248403508
19,AAR2,1.025394335718829,0.3112428659521426,1.0,0.7036518859204581
20,AARD,7.582811980550559,0.005892744484783606,1.0,0.14640842145599794
21,AARS1,1.7927856093137962,0.18058713228079176,1.0,0.5844095071908951
22,AARS2,0.03028885252706459,0.8618364402186812,1.0,0.9628219169674265
23,AARSD1,0.06345817688020361,0.8011113528721089,1.0,0.9443155234645498
24,AASDH,1.9634341930807295,0.16114651343926767,1.0,0.5602224095946432
25,AASDHPPT,0.9468478497356045,0.3305229499583984,1.0,0.7170309498653484
26,AASS,0.016641542471006687,0.897355985110911,1.0,0.97281358272503
27,AATF,0.050568660247336084,0.822076700605864,1.0,0.9505411957274842
28,AATK,0.028827728273199682,0.8651774126518388,1.0,0.9639543146280418
29,ABAT,1.728817533246911,0.18856197994669677,1.0,0.5926496283532904
30,ABCA1,1.5397776456713927,0.2146509051883539,1.0,0.6205719117559888
31,ABCA10,0.7361572090937898,0.3908946486524374,1.0,0.7586477469962707
32,ABCA12,1.3672226843000317,0.24228963867319542,1.0,0.6461556969762048
33,ABCA13,0.07248288452137785,0.7877554228094313,1.0,0.9396699564677757
34,ABCA2,0.1538867705262419,0.6948483524263909,1.0,0.9088755256106067
35,ABCA3,0.9301866416069515,0.33481443107207215,1.0,0.7199460937802353
36,ABCA4,3.6631391767239165,0.05562872892591619,1.0,0.3791470009671498
37,ABCA5,0.9920616804156452,0.31923900333108457,1.0,0.7091790930325496
38,ABCA6,8.419879900992555,0.003711403082113546,1.0,0.1212845667751234
39,ABCA7,0.2661239084054614,0.6059438194068827,1.0,0.8743970966284828
40,ABCA8,1.219149338456191,0.26952765929870365,1.0,0.6705248794677905
41,ABCA9,0.1796335281987922,0.6716883699165699,1.0,0.9028505560916309
42,ABCB1,0.9194406298163358,0.3376218874796031,1.0,0.7226098562822633
43,ABCB10,0.5225268177732687,0.46976579930976736,1.0,0.8052069461395114
44,ABCB11,0.31929149363804754,0.572033742708522,1.0,0.8592732560966247
45,ABCB4,1.308515281599739,0.2526636477266635,1.0,0.6560635028447116
46,ABCB5,0.030952233818425157,0.8603469962304602,1.0,0.9621839876210044
47,ABCB6,0.062421319304803546,0.8027090826176475,1.0,0.9445729542941151
48,ABCB7,3.518184440132927,0.06069890499766863,1.0,0.39008441481596834
49,ABCB8,0.44184959537255963,0.5062310828112674,1.0,0.8263358415684592
50,ABCB9,0.6302862768529849,0.4272503251260924,1.0,0.7822554762974503
51,ABCC1,0.5135434133101171,0.4736089496980035,1.0,0.8070202252316726
52,ABCC10,0.10818041172979065,0.7422252971071435,1.0,0.9265440800785647
53,ABCC11,3.306321904382912,0.06901379774279288,1.0,0.4109447468402345
54,ABCC12,5.717382760599776,0.016797751583802298,1.0,0.23454158011053716
55,ABCC2,0.010188747514121133,0.9195986249572762,1.0,0.9793562715460978
56,ABCC3,0.9778242089503237,0.322736564895688,1.0,0.7116427164531638
57,ABCC4,2.2088269714679427,0.13722297771805647,1.0,0.5325428097497031
58,ABCC5,5.44696317300145,0.019602372991557735,1.0,0.24990441503506364
59,ABCC6,0.048384388080876306,0.8258987904037391,1.0,0.9515014667048609
60,ABCC8,0.06636338359226102,0.796707204925323,1.0,0.9426681451952023
61,ABCC9,0.619086390544453,0.43138699163856853,1.0,0.7842999511109541
62,ABCD1,1.0401979573966855,0.3077754367292064,1.0,0.7005513725461738
63,ABCD2,0.10177764640388887,0.749706728371113,1.0,0.9285413176249185
64,ABCD3,0.3803943621101098,0.5373922559780135,1.0,0.8437302545141901
65,ABCD4,1.1490084484034924,0.28375681229650396,1.0,0.6817833829494192
66,ABCE1,2.956364741859261,0.08554006045623218,1.0,0.44499802480739065
67,ABCF1,1.0441726165520322,0.30685301349133776,1.0,0.6996941139797861
68,ABCF3,0.377655663112364,0.538860563822629,1.0,0.8441956703253966
69,ABCG1,0.0002587510091416334,0.9871659904268489,1.0,0.9964429507691838
70,ABCG2,0.981686898115413,0.3217826927626296,1.0,0.7109143748409947
71,ABCG4,0.04231538111548616,0.8370197688993818,1.0,0.9552467208678093
72,ABCG5,0.7386391850163818,0.3900971446570701,1.0,0.758318868962744
73,ABCG8,1.7957318150376977,0.18022935530096823,1.0,0.5843591512671117
74,ABHD1,1.6582839849879747,0.19783517610566032,1.0,0.6025041871480524
75,ABHD10,0.02914735804824886,0.8644392387132529,1.0,0.9639157802080538
76,ABHD11,21.20576105426653,4.1252266693559385e-06,1.0,0.0026239388207581877
77,ABHD12,10.383447310328165,0.0012715006910412423,1.0,0.07808768037049836
78,ABHD12B,1.6442931008768937,0.19973745383059863,1.0,0.6053274841828995
79,ABHD13,0.7368894072194507,0.39065913751540293,1.0,0.7584651797209462
80,ABHD14A,0.05667356330332041,0.8118329298067628,1.0,0.9477415102162065
81,ABHD14B,0.415123537023419,0.5193803888550601,1.0,0.8344005705852986
82,ABHD15,0.11561154745163549,0.7338437399175445,1.0,0.923201031852191
83,ABHD16A,5.464735632693419,0.019403989345147078,1.0,0.24983655072175262
84,ABHD16B,0.10202934273706887,0.7494078018542464,1.0,0.9285413176249185
85,ABHD17A,0.754723512415012,0.3849848470585786,1.0,0.7546313147824439
86,ABHD17B,0.02388243111408883,0.8771844349754173,1.0,0.9677227122446967
87,ABHD17C,5.199759118249403,0.02259001840552273,1.0,0.26469968431040164
88,ABHD18,0.6354979666216423,0.4253457661281873,1.0,0.7808905717120865
