,gene,lr,p,ddf,p_corrected
0,A1BG,0.18949843991208581,0.6633343898000444,1.0,0.9651673541079738
1,A1CF,0.005258035069346079,0.9421942094721176,1.0,0.9962607191557915
2,A2M,0.047817200109193436,0.8269059955805055,1.0,0.9890183060207107
3,A2ML1,0.42980092750258336,0.5120866462436706,1.0,0.94503647867752
4,A3GALT2,3.637718284755465,0.0564842950294091,1.0,0.662704410061776
5,A4GALT,0.21045433251697432,0.6464115357146281,1.0,0.9630385013239324
6,A4GNT,1.5358711656251671,0.21523342167478257,1.0,0.827274629922785
7,AAAS,1.117588821324489,0.29043823605857066,1.0,0.8697742012181093
8,AACS,0.09419878570929541,0.7589056304007636,1.0,0.9797898392900517
9,AADAC,1.1415781031537335,0.28531911320844566,1.0,0.8664166080549731
10,AADACL2,0.47026691702785683,0.49286439986468633,1.0,0.9398900261694959
11,AADACL3,0.1316180578469357,0.7167602451546493,1.0,0.974488698401264
12,AADACL4,6.192329986906088,0.012830514920420843,1.0,0.4953577298716487
13,AADAT,0.38901481682637495,0.5328177108567016,1.0,0.947716311830406
14,AAGAB,4.055051837983001,0.04403936678454758,1.0,0.6418391095697527
15,AAK1,0.9803456791746612,0.322113478445626,1.0,0.8817782480554909
16,AAMDC,0.00047709021350783587,0.9825736760307789,1.0,0.9978874958564631
17,AAMP,0.002837010273424312,0.9575218880745697,1.0,0.996722473863948
18,AANAT,2.7324306502514446,0.09832953077792228,1.0,0.7343639145836295
19,AAR2,0.37998360621918437,0.5376120101523993,1.0,0.9502362082390897
20,AARD,4.694537638783686,0.030258639016755066,1.0,0.5974571628474586
21,AARS1,0.7064127105784337,0.4006372834915135,1.0,0.9077955054340477
22,AARS2,0.006300611184997251,0.9367332479508866,1.0,0.9962607191557915
23,AARSD1,0.2283412896460959,0.6327564739687589,1.0,0.9621231081540386
24,AASDH,1.709438358550642,0.19105825682037844,1.0,0.812642630295352
25,AASDHPPT,0.0580826337804865,0.8095524894555648,1.0,0.9870079720267476
26,AASS,0.004105743279069429,0.9489096527465575,1.0,0.9962607191557915
27,AATF,0.8440366283973617,0.3582448392656993,1.0,0.8919412805150166
28,AATK,0.009566279000182476,0.9220852656936729,1.0,0.9962607191557915
29,ABAT,0.014656371265800772,0.9036407384983892,1.0,0.9958199884817712
30,ABCA1,3.3577500754756784,0.06688939789258339,1.0,0.676490730532033
31,ABCA10,0.023970985852429294,0.8769587591908353,1.0,0.9941056696710469
32,ABCA12,1.3578319207413188,0.24391358230247007,1.0,0.8443372419386007
33,ABCA13,0.08548583059746306,0.7699964038341254,1.0,0.9813276929061642
34,ABCA2,0.8039317741570358,0.3699204274273349,1.0,0.8965653107082382
35,ABCA3,0.003686308960823226,0.951586200297816,1.0,0.9962607191557915
36,ABCA4,0.2762595332803812,0.5991633977926508,1.0,0.95646242305294
37,ABCA5,0.020493174372859357,0.8861682640355764,1.0,0.9950827632934458
38,ABCA6,0.03273725329950139,0.8564190754064777,1.0,0.9925337775491011
39,ABCA7,0.9519840425293751,0.32921479004450716,1.0,0.8838784068292069
40,ABCA8,0.014471723177621243,0.9042467118168636,1.0,0.9958199884817712
41,ABCA9,1.4074958671169497,0.23547253871330723,1.0,0.8384058165401437
42,ABCB1,0.007888070153512672,0.929229088967747,1.0,0.9962607191557915
43,ABCB10,1.0470418697555033,0.30618935579958506,1.0,0.8760537504261914
44,ABCB11,0.7677912268861746,0.38090122245841873,1.0,0.9019419688443108
45,ABCB4,7.389590398055361,0.00656024263129223,1.0,0.43978262446199906
46,ABCB5,0.33302287967239863,0.5638845051801414,1.0,0.9520056532128772
47,ABCB6,0.09506311937366263,0.7578365084530343,1.0,0.9797898392900517
48,ABCB7,0.6972896025031332,0.4036959285075691,1.0,0.9077955054340477
49,ABCB8,0.5197901727176486,0.47093120205478345,1.0,0.9336213683150321
50,ABCB9,0.6832105239548127,0.40848337921096,1.0,0.9087045945225078
51,ABCC1,1.1056047079268865,0.29303938705866983,1.0,0.8704405918239274
52,ABCC10,0.3856949259243265,0.5345710568677727,1.0,0.9488449793517074
53,ABCC11,0.07160234233947449,0.7890179006833022,1.0,0.9849691899589608
54,ABCC12,0.7935948381114031,0.3730153341244721,1.0,0.897999878447803
55,ABCC2,2.1310573918224236,0.14434115489075727,1.0,0.7768586180942799
56,ABCC3,0.10686104293790777,0.7437464909006908,1.0,0.9797898392900517
57,ABCC4,1.226144807831588,0.26815809332230467,1.0,0.8524815715361815
58,ABCC5,6.290829532641737,0.012136423714705191,1.0,0.4952036690932407
59,ABCC6,0.35126498674253526,0.5533979238104398,1.0,0.9509732299403916
60,ABCC8,0.002345491904179653,0.9613733286213517,1.0,0.997673462712435
61,ABCC9,2.3223950284861985,0.12752354396838475,1.0,0.7592282582904369
62,ABCD1,0.2679885039767669,0.6046843035096294,1.0,0.9577699895640929
63,ABCD2,0.14184636989534738,0.7064523267346434,1.0,0.9740420429588273
64,ABCD3,1.1324601701837764,0.2872511879188052,1.0,0.8672418584606564
65,ABCD4,2.108248701256798,0.14650690010896933,1.0,0.7780493747332581
66,ABCE1,1.3142179377737193,0.251632392459129,1.0,0.8458579436087947
67,ABCF1,2.6272154249534196,0.10504579541434456,1.0,0.7418782374906455
68,ABCF3,0.29319793138211026,0.5881784711974819,1.0,0.9544308616467456
69,ABCG1,0.003579428936518525,0.95229236280087,1.0,0.9962607191557915
70,ABCG2,0.6706087357520119,0.4128394545485269,1.0,0.9103816827759196
71,ABCG4,0.18743548190559522,0.6650596698830638,1.0,0.9654677670145346
72,ABCG5,1.0032300752907304,0.3165301844567849,1.0,0.8796444867840878
73,ABCG8,1.8264739525257028,0.17654459299152214,1.0,0.8022829026774898
74,ABHD1,0.13673104663280355,0.7115526671149681,1.0,0.9744785512465677
75,ABHD10,0.08061052633252075,0.7764717432272285,1.0,0.9829363550591449
76,ABHD11,0.0011598121773204184,0.9728324828366461,1.0,0.9977370371133018
77,ABHD12,0.0012254408045464515,0.9720747199583235,1.0,0.9976819813336478
78,ABHD12B,0.11238946346020384,0.7374399938742275,1.0,0.9787698895362165
79,ABHD13,1.4564472663073502,0.2274962448348945,1.0,0.8345417703069116
80,ABHD14A,1.142819003152681,0.28505744508618014,1.0,0.8663952224359226
81,ABHD14B,1.7628041990928978,0.18427512909160793,1.0,0.8106240574021597
82,ABHD15,6.831779086174265,0.008955002524953546,1.0,0.47096058812112557
83,ABHD16A,0.1452912877214203,0.7030764086908741,1.0,0.9740180754767463
84,ABHD16B,2.6235536190645234,0.10528840840548058,1.0,0.74206036949015
85,ABHD17A,0.3179332107697519,0.5728523648720698,1.0,0.9526244038240319
86,ABHD17B,3.3879334513169397,0.0656752145705972,1.0,0.6752746678287141
87,ABHD17C,0.134348529152021,0.7139652668066407,1.0,0.9744785512465677
88,ABHD18,1.7577184885963106,0.1849093456745492,1.0,0.8111112189473286
89,ABHD2,0.07174325006121762,0.7888153171273828,1.0,0.9849691899589608
