,gene,lr,p,ddf,p_corrected
0,A1BG,0.14179205995355915,0.7065059219740988,1.0,0.9076252973757128
1,A1CF,0.7962271371836778,0.3722237928282396,1.0,0.7325199724056296
2,A2M,0.003547708495261759,0.9525039717233938,1.0,0.9877809854895254
3,A2ML1,4.573340297552022,0.03247318832471106,1.0,0.27861775161687174
4,A3GALT2,5.0358941994145425,0.02482726667147322,1.0,0.2523822028646907
5,A4GALT,0.10892451356198762,0.7413718995052694,1.0,0.9229577471123198
6,A4GNT,0.2710507256290384,0.6026278060914262,1.0,0.8668752594192927
7,AAAS,0.2509123486288445,0.6164333961789032,1.0,0.8722628897986774
8,AACS,1.2944036334247357,0.2552380003525958,1.0,0.6352435441271893
9,AADAC,0.7086553398892192,0.39989056817973134,1.0,0.7496106745901501
10,AADACL2,0.8810128921720661,0.34792440646604383,1.0,0.7163916577041641
11,AADACL3,0.28139840745757283,0.5957861125097179,1.0,0.8631701508011126
12,AADACL4,4.1068098999919584,0.042710853760970044,1.0,0.3106085363343718
13,AADAT,13.068594078957858,0.00030028844522726,1.0,0.030387143235781254
14,AAGAB,0.789026217536275,0.3743947384161943,1.0,0.733675467815225
15,AAK1,1.5196183450134413,0.21767725815791233,1.0,0.5983025626608796
16,AAMDC,0.01473679971513775,0.9033780018677182,1.0,0.9753371855761434
17,AAMP,0.030144928783784053,0.8621617944243756,1.0,0.9646541387218257
18,AANAT,3.470587136143422,0.062469133768354196,1.0,0.36794572939504167
19,AAR2,0.09803360478986178,0.754202268992883,1.0,0.9278401886277023
20,AARD,17.107239888926642,3.532737932138903e-05,1.0,0.008369173391616596
21,AARS1,1.9687060151343303,0.16058527816223134,1.0,0.5313758339813838
22,AARS2,0.7333821396071016,0.39178909734151224,1.0,0.7450895700643174
23,AARSD1,1.645965136594441,0.1995089884427335,1.0,0.5773925150920132
24,AASDH,0.1168770033484634,0.732446628927425,1.0,0.9187044595758749
25,AASDHPPT,0.5344412685881252,0.46474561948451487,1.0,0.7936637724632477
26,AASS,0.0046062722492479224,0.9458894993473214,1.0,0.9872038044779541
27,AATF,3.1081742361243414,0.0779002392053449,1.0,0.40175922344631804
28,AATK,0.42912218781430056,0.5124199919122283,1.0,0.8204063336890314
29,ABAT,0.08278822761280935,0.7735538567215814,1.0,0.9369965407335155
30,ABCA1,1.174379586769419,0.27850317735606767,1.0,0.6574621369235902
31,ABCA10,0.17613186433868577,0.6747187483721071,1.0,0.896410411756157
32,ABCA12,0.07354776747956748,0.7862395844805166,1.0,0.9407682887740904
33,ABCA13,1.7321954389747134,0.18813076239537005,1.0,0.563496945855382
34,ABCA2,1.721726828862984,0.1894709158574101,1.0,0.564171844220186
35,ABCA3,0.13844231986013256,0.709834493847254,1.0,0.909237846665387
36,ABCA4,6.553427477351079,0.010468231270104811,1.0,0.17103222469718085
37,ABCA5,1.2557785796880125,0.2624516630084461,1.0,0.6428463626908796
38,ABCA6,9.48992320466732,0.002066034684697738,1.0,0.07871304444772965
39,ABCA7,0.025976532093636706,0.8719576439891011,1.0,0.9673318978008294
40,ABCA8,0.026230454232290867,0.8713387812656186,1.0,0.9673318978008294
41,ABCA9,0.18119165122197955,0.6703511481434201,1.0,0.8949570307847075
42,ABCB1,10.089789986634969,0.00149093097138237,1.0,0.06791171509033252
43,ABCB10,0.11120831957418886,0.7387726525670939,1.0,0.9212673954782203
44,ABCB11,0.0059164890390093205,0.9386882075729912,1.0,0.9863730589931543
45,ABCB4,0.49943050292404223,0.47975046117884956,1.0,0.8031164313934872
46,ABCB5,0.5632763311818962,0.4529431628544496,1.0,0.7853141095838485
47,ABCB6,0.0038999902908471995,0.9502045562318427,1.0,0.9874895604070295
48,ABCB7,3.004150076884116,0.08305152466893344,1.0,0.4097946324592043
49,ABCB8,0.32786819380658017,0.5669170773020547,1.0,0.84818436278406
50,ABCB9,4.996086821845893,0.025404694436337125,1.0,0.255087143851319
51,ABCC1,1.4237735849274031,0.23278328678311005,1.0,0.613385166090722
52,ABCC10,1.3351310688901776,0.24789444259114157,1.0,0.6297466156494719
53,ABCC11,0.3789663376267072,0.5381569547066335,1.0,0.8342701491036293
54,ABCC12,3.1635131892378467,0.07530097212635688,1.0,0.3968744029303052
55,ABCC2,5.761014091880497,0.016385612117679176,1.0,0.21055393348908089
56,ABCC3,0.7218746335788637,0.39552968299463076,1.0,0.7469392062490059
57,ABCC4,2.2075432542180806,0.13733722882541524,1.0,0.5022538080863748
58,ABCC5,8.974238124910244,0.002738127311480843,1.0,0.08915182343231046
59,ABCC6,2.578504901294423,0.10832393376075711,1.0,0.45608729557425154
60,ABCC8,3.473225648129528,0.06236957711317986,1.0,0.36793712102872916
61,ABCC9,0.07694656660964938,0.781478784799644,1.0,0.9393357060998624
62,ABCD1,0.004890924807568808,0.9442452782196847,1.0,0.9869332382231442
63,ABCD2,1.6506710320877573,0.1988676246474691,1.0,0.576095054484617
64,ABCD3,0.10263737739319367,0.7486873434881036,1.0,0.9259806658002171
65,ABCD4,0.856899119670743,0.3546079082543301,1.0,0.7209874607905289
66,ABCE1,7.770187399614542,0.005311553832031123,1.0,0.12613169833129909
67,ABCF1,1.9236744680044922,0.1654521545405488,1.0,0.5386775103783015
68,ABCF3,0.1565179542867554,0.6923827976644392,1.0,0.9035428717363536
69,ABCG1,0.07625708625982952,0.7824352731377748,1.0,0.9395596276412828
70,ABCG2,2.830740053845375,0.0924757364193019,1.0,0.42823527447419835
71,ABCG4,0.7506702610298817,0.3862641051095699,1.0,0.741790350657908
72,ABCG5,0.004797206818466293,0.9447811751024241,1.0,0.9869892538392668
73,ABCG8,0.5974706376568975,0.43954472296982794,1.0,0.7752069958940813
