,gene,lr,p,ddf,p_corrected
0,A1BG,0.8396313880084563,0.3595022153069588,1.0,0.8436565035393582
1,A1CF,0.08600147281936188,0.7693233666299706,1.0,0.9555800858704853
2,A2M,0.006873429607367143,0.9339261643679553,1.0,0.9892207960419593
3,A2ML1,1.5085304110500601,0.21936346961728398,1.0,0.7611017480300903
4,A3GALT2,3.101554856025814,0.07821755644995103,1.0,0.619776664920607
5,A4GALT,1.0714498211336831,0.3006181950676219,1.0,0.8146145418383286
6,A4GNT,2.000508069427724,0.15724649123720572,1.0,0.7117595638628011
7,AAAS,0.11976998980730968,0.7292840881079459,1.0,0.9477059649968383
8,AACS,0.6320043158752924,0.4266210694942384,1.0,0.8713441797812369
9,AADAC,0.10575710757302659,0.7450273029136809,1.0,0.9510042819246921
10,AADACL2,1.8155257100693234,0.17784678809770632,1.0,0.7263444298308497
11,AADACL3,0.18761973789037256,0.664905116693776,1.0,0.9306846516536308
12,AADACL4,6.92371837418591,0.008505992877326207,1.0,0.34076185242952794
13,AADAT,4.6321144654025375,0.03137886915384082,1.0,0.4983370444178581
14,AAGAB,3.417368796945766,0.06451376213320285,1.0,0.5999948321631033
15,AAK1,1.6278584305805452,0.20199951373814118,1.0,0.7475138263827793
16,AAMDC,0.3069329732652477,0.5795683620996661,1.0,0.9097866258315389
17,AAMP,0.03869578000103502,0.844052582648799,1.0,0.9730593502916957
18,AANAT,5.407088477945763,0.02005513855556327,1.0,0.4351508460199972
19,AAR2,0.003969607577801071,0.949762664661755,1.0,0.9923461239507672
20,AARD,9.933354200500617,0.0016231049337694778,1.0,0.2131821586841666
21,AARS1,0.9769257006105363,0.3229589815599747,1.0,0.8282731771287423
22,AARS2,0.0419548249797117,0.8377059084079308,1.0,0.9709386736466016
23,AARSD1,0.01743670630185079,0.8949462297847256,1.0,0.9821497775523397
24,AASDH,0.23802717904277415,0.6256346349783946,1.0,0.9225924176298508
25,AASDHPPT,0.16159954784416186,0.6876881016347633,1.0,0.9364947738065198
26,AASS,0.036698046753599556,0.8480811255044278,1.0,0.9731794975383046
27,AATF,5.440408999814736,0.019676061592865834,1.0,0.43444221494411145
28,AATK,0.29428837273621866,0.587485455267168,1.0,0.9121551582508622
29,ABAT,0.06396969611819259,0.8003282470979792,1.0,0.9628347434312852
30,ABCA1,0.5079855457145186,0.4760122006060994,1.0,0.8901357461517349
31,ABCA10,0.05889465452901277,0.8082515907293306,1.0,0.9643980208069592
32,ABCA12,0.30569571309320054,0.5803335575714921,1.0,0.9098420465288868
33,ABCA13,1.9286922447922734,0.1649015909166922,1.0,0.7142260054052257
34,ABCA2,1.7448432295288967,0.18652632577400036,1.0,0.7339010272319515
35,ABCA3,0.34872428453809334,0.5548361714767764,1.0,0.9050959920142491
36,ABCA4,0.18488319239486373,0.6672098582122987,1.0,0.9308068808435056
37,ABCA5,0.016324387488793946,0.8983334243870291,1.0,0.982429504804288
38,ABCA6,0.7881424890629205,0.37466238761575055,1.0,0.8490541683089727
39,ABCA7,0.09538568845937334,0.7574388766365117,1.0,0.9543997100850978
40,ABCA8,1.3249565463634099,0.24970443917119672,1.0,0.7862548549708201
41,ABCA9,2.268815712714968,0.1320007382027435,1.0,0.6884248528451832
42,ABCB1,0.14004675501155361,0.7082345359130015,1.0,0.9423756173835676
43,ABCB10,2.3934720499566993,0.12184274636061573,1.0,0.6754405637693226
44,ABCB11,0.22565098201266665,0.6347674802199466,1.0,0.9262768392230437
45,ABCB4,4.918216767602644,0.02657493311125311,1.0,0.47458871121490986
46,ABCB5,0.809827356774349,0.36817129763441536,1.0,0.8452671937876881
47,ABCB6,0.0015597846049786313,0.9684964506023233,1.0,0.9951372882770826
48,ABCB7,0.0073498133906468865,0.931680216540962,1.0,0.9892207960419593
49,ABCB8,1.5354582719967311,0.21529510030066407,1.0,0.7584664135681123
50,ABCB9,0.43850744246674367,0.5078437303954841,1.0,0.8966338991547133
51,ABCC1,3.3707224337199477,0.06636464776700976,1.0,0.6023926426036944
52,ABCC10,1.8722863409980164,0.17121345161031093,1.0,0.7222501652304484
53,ABCC11,1.0119750597227721,0.31443014037417416,1.0,0.8225515131170688
54,ABCC12,0.0025103554819452256,0.9600399522399656,1.0,0.9942570470483678
55,ABCC2,2.3300784197401754,0.12689548442484763,1.0,0.6813534458206499
56,ABCC3,0.0020315394651788665,0.9640494395329283,1.0,0.9943657715175048
57,ABCC4,2.017756316605528,0.15546871560017014,1.0,0.7097640148860371
58,ABCC5,11.238672910443938,0.0008011041578035597,1.0,0.1594524903600458
59,ABCC6,0.9598974252537573,0.327212722775497,1.0,0.8306567750743387
60,ABCC8,2.901217363026035,0.08851268333116864,1.0,0.6284430958865843
61,ABCC9,0.21219879162526922,0.6450494454009663,1.0,0.927412131094228
62,ABCD1,1.1140403482579586,0.2912053498663645,1.0,0.8088532877604415
63,ABCD2,0.6322261563034317,0.42653991911486466,1.0,0.8713077124756519
64,ABCD3,0.06084865807861206,0.8051595951498578,1.0,0.9639768707187804
65,ABCD4,5.161271234977448,0.023095986436882324,1.0,0.454146214232041
66,ABCE1,3.1807801313859727,0.07450914827985726,1.0,0.6175074733554593
67,ABCF1,0.688935318139329,0.4065267547079594,1.0,0.8646030840359742
68,ABCF3,3.771190026949853,0.052142523118091574,1.0,0.5617057984015729
69,ABCG1,0.16108605333647574,0.6881585761272648,1.0,0.9367406871065058
70,ABCG2,1.9674104066343716,0.1607230011688494,1.0,0.712632574173546
71,ABCG4,0.19549517641121383,0.658381848112157,1.0,0.9294737401860108
72,ABCG5,0.20013456702986332,0.6546122493147908,1.0,0.9288546912660068
73,ABCG8,3.9691988651147767,0.04633981460788371,1.0,0.5494195728359319
74,ABHD1,3.5643488635439553,0.05903288858224911,1.0,0.5819159586833506
75,ABHD10,0.020386426212326114,0.8864631092415803,1.0,0.9811642291430657
76,ABHD11,1.4659766958031923,0.22598155484603258,1.0,0.7665683521488433
77,ABHD12,0.11918225230897406,0.7299231006097522,1.0,0.9477059649968383
78,ABHD12B,0.11002741236416114,0.740112929381737,1.0,0.9501773767336015
79,ABHD13,1.0200338142685723,0.31251098844265285,1.0,0.8219195156837599
80,ABHD14A,0.4597006049045831,0.49776392910181555,1.0,0.8946589542136779
81,ABHD14B,0.5968348111071009,0.43978824371954417,1.0,0.8780711702643919
82,ABHD15,5.937371691840781,0.014823107481418674,1.0,0.40057265996209523
83,ABHD16A,0.19956894311735596,0.6550690078920738,1.0,0.9288546912660068
84,ABHD16B,0.5206665687719578,0.47055748117461493,1.0,0.8897488838947348
85,ABHD17A,1.853920746099675,0.17332807610761675,1.0,0.7226108096889781
86,ABHD17B,3.567383822562988,0.05892507774878651,1.0,0.5819159586833506
87,ABHD17C,0.0806209375018625,0.7764576926491666,1.0,0.95608041382179
88,ABHD18,0.3807739661683627,0.5371893135873254,1.0,0.9032681355412271
89,ABHD2,0.221845757797837,0.6376371281192739,1.0,0.9271747876133177
90,ABHD3,0.43543032159163886,0.5093363312702994,1.0,0.8966338991547133
91,ABHD4,0.0008608552279838477,0.9765931584668109,1.0,0.9965122122318038
92,ABHD5,2.5894717828175544,0.10757620650232763,1.0,0.6607004358717913
93,ABHD6,0.004737970374208089,0.945122616750785,1.0,0.991206726479102
94,ABHD8,0.952392298833729,0.3291111048980343,1.0,0.8324240422002689
95,ABI1,0.019104496804857263,0.890067325544047,1.0,0.9813110726717517
96,ABI2,1.118620370582903,0.29021571786913775,1.0,0.8087464931283097
97,ABI3,0.936535093449038,0.33317052286088705,1.0,0.8326127067527096
98,ABI3BP,1.8703778513286125,0.17143181000492255,1.0,0.7222501652304484
99,ABITRAM,0.014256574672572242,0.9049577491235135,1.0,0.9833664826285239
100,ABL1,0.5665155757124012,0.45164686550761424,1.0,0.8833428606786247
101,ABL2,2.4763204011503603,0.11557235018165182,1.0,0.6709072870714533
102,ABLIM1,0.0204170260740284,0.8863785101060849,1.0,0.9811642291430657
103,ABLIM2,0.2667285760962841,0.605534761595613,1.0,0.9174906069874438
104,ABLIM3,0.38620271230320213,0.534302201591423,1.0,0.9027774389072489
105,ABR,7.726964874148507,0.005440212300715555,1.0,0.3168879711826632
106,ABRA,0.08579906591535291,0.7695872944668463,1.0,0.9555800858704853
107,ABRACL,0.05312368941645218,0.8177143210294541,1.0,0.9671623872782515
108,ABRAXAS1,0.02533322061481158,0.8735395628352103,1.0,0.9781739281338644
109,ABRAXAS2,0.45321640812971964,0.5008114778148252,1.0,0.8956172728067111
110,ABT1,0.23689517680281824,0.6264576303002622,1.0,0.9228021309910377
