,gene,lr,p,ddf,p_corrected
0,A1BG,3.934239889694709,0.047312517355504895,1.0,0.29859529911465
1,A1CF,2.2631799204937124,0.13248177741114472,1.0,0.46652094779565006
2,A2M,8.557695036870427e-05,0.9926190498837983,1.0,0.9976632225703712
3,A2ML1,2.5496165283902883,0.11032102877806246,1.0,0.4316382958122347
4,A3GALT2,1.87333084581428,0.1710940806709363,1.0,0.5183297263803336
5,A4GALT,0.028223926040027436,0.8665834522473944,1.0,0.958569107889548
6,A4GNT,0.0004937827129651851,0.9822714889574293,1.0,0.9941040553427225
7,AAAS,0.23890797505646333,0.624995947534416,1.0,0.855563841805046
8,AACS,3.9450784951945934,0.04700866057770764,1.0,0.29794184447465244
9,AADAC,0.15856324763490193,0.6904827588946945,1.0,0.8870358838315243
10,AADACL2,0.03788593307490373,0.8456723660286971,1.0,0.9504275155531707
11,AADACL3,0.6924142539553486,0.4053444154370289,1.0,0.7313528557322951
12,AADACL4,1.7497411948386343,0.18590927108557592,1.0,0.5354189567433644
13,AADAT,5.556175293900651,0.018415604641345003,1.0,0.200233161576529
14,AAGAB,0.5274345890563836,0.4676874128252567,1.0,0.7725387518473217
15,AAK1,0.4239621396438906,0.5149666055196827,1.0,0.8013885282802141
16,AAMDC,0.2710602315758024,0.6026214452085423,1.0,0.8430357347548613
17,AAMP,10.064659567141916,0.0015114049046198905,1.0,0.06130626827211966
18,AANAT,1.5078822012173987,0.21946252828278523,1.0,0.5734488891896135
19,AAR2,6.227698841628126,0.012576706991906089,1.0,0.16579033344661231
20,AARD,0.9375520808082456,0.33290817995468375,1.0,0.6753940137666938
21,AARS1,2.23346016848609,0.1350511057564881,1.0,0.47104840693428895
22,AARS2,1.686181529314581,0.19410509342394194,1.0,0.5453373518049978
23,AARSD1,0.06776311656085454,0.794621962533435,1.0,0.9333388612227447
24,AASDH,0.05081984159801323,0.821642779944078,1.0,0.9421763970984105
25,AASDHPPT,1.132693714930383,0.2872014931867212,1.0,0.6363805900753939
