,gene,lr,p,ddf,p_corrected
0,A1BG,0.865178746975289,0.3522935024173176,1.0,0.756939707291982
1,A1CF,3.6213869376740604,0.057041301624519376,1.0,0.4158434637464961
2,A2M,0.933812575419779,0.33387418544530256,1.0,0.7458823364279118
3,A2ML1,4.0343535022966535,0.044582754001631766,1.0,0.37813210746945397
4,A3GALT2,0.21466416734529048,0.6431359827831714,1.0,0.8992190181636271
5,A4GALT,2.7001524842685285,0.10033864951771354,1.0,0.5037783853559301
6,A4GNT,2.212748715293401,0.13687460073963853,1.0,0.5569423438823309
7,AAAS,0.6103672993112923,0.4346495489783945,1.0,0.8079914853268553
8,AACS,3.2250889238800937,0.07251785797501371,1.0,0.4514935365401706
9,AADAC,4.548003804314703,0.03295714824055371,1.0,0.3431011036476487
10,AADACL2,1.2039619281340492,0.2725312520488712,1.0,0.7022326360319541
11,AADACL3,0.050999030458569905,0.8213339159657448,1.0,0.9595248962512244
12,AADACL4,0.023729208794520673,0.8775759259274453,1.0,0.9728934498093614
13,AADAT,0.12185094464348367,0.7270355971285085,1.0,0.9300081868030408
14,AAGAB,0.9638637556990943,0.3262153233532504,1.0,0.7387964024569417
15,AAK1,3.386298202578928,0.06574038881879571,1.0,0.43722029193569567
16,AAMDC,0.014948021018881263,0.9026914468353467,1.0,0.9794250472579076
17,AAMP,4.411200870393714,0.035703698672993736,1.0,0.35056089525320594
18,AANAT,0.1212565501455174,0.7276756354269028,1.0,0.930253337276032
19,AAR2,5.121963924607826,0.023624864968212412,1.0,0.3064203342958724
20,AARD,0.053939238344355545,0.8163452228817077,1.0,0.958306850061293
21,AARS1,0.0025590291297703516,0.9596547436617594,1.0,0.9919387416757928
22,AARS2,0.15007876874278736,0.6984600954448753,1.0,0.920186013559545
23,AARSD1,1.76016280659951,0.18460420988092568,1.0,0.6174737641781018
24,AASDH,0.35068270516649136,0.5537269214504377,1.0,0.8668796637429765
25,AASDHPPT,0.02921234722725785,0.8642896587874381,1.0,0.9713225384752265
26,AASS,0.1699384828325492,0.6801664857117075,1.0,0.9136881176672372
27,AATF,0.39589352866369154,0.5292176665954385,1.0,0.8543660843060877
28,AATK,0.007751415854272636,0.9298431948482709,1.0,0.9853975223791996
29,ABAT,3.3617988795626843,0.06672514382047531,1.0,0.4383529367180617
30,ABCA1,0.05732060345280843,0.810782081479331,1.0,0.9573417603654821
31,ABCA10,6.319891102589054,0.011939096081077205,1.0,0.2346968004458996
32,ABCA12,1.869878127055017,0.17148903841972665,1.0,0.6021726684257358
33,ABCA13,2.865524221735086,0.09049622084365139,1.0,0.48751896346806756
34,ABCA2,2.115808500992216,0.145785045135825,1.0,0.5716494174084199
35,ABCA3,1.9617361078135218,0.16132776651773423,1.0,0.5905823361904243
36,ABCA4,1.3158149897531075,0.2513445125384654,1.0,0.68165764707021
37,ABCA5,0.6373440930051402,0.4246741790349289,1.0,0.804084051855186
38,ABCA6,9.415306475842044,0.0021518159445079294,1.0,0.11938891579964556
39,ABCA7,0.0001269661165679281,0.991009687465099,1.0,0.9987484457759966
40,ABCA8,0.10717698274083887,0.7433812787802403,1.0,0.9346688654483685
41,ABCA9,0.8527988653186185,0.35576175632459317,1.0,0.7593620422029008
42,ABCB1,1.8805582440256785,0.1702707132306427,1.0,0.6008562319472451
43,ABCB10,2.444551289073388,0.11793360471424118,1.0,0.5320155774976281
44,ABCB11,0.008146568176471192,0.9280819237982149,1.0,0.9852676555645248
45,ABCB4,1.081932877276131,0.29826556026627765,1.0,0.720774712122443
46,ABCB5,0.06842644630864925,0.7936418016213089,1.0,0.9528382854232512
47,ABCB6,1.0203010311497565,0.3124476143591275,1.0,0.7304567741829447
48,ABCB7,0.17392077727367905,0.676650539584047,1.0,0.9115383778951865
49,ABCB8,2.8605140776803637,0.09077848236489587,1.0,0.48830104829924353
50,ABCB9,0.22831159637053133,0.632778590123104,1.0,0.8950454194639701
51,ABCC1,5.339419666405092,0.020848412533062275,1.0,0.2914906072218723
52,ABCC10,0.9045940453661387,0.34155285815053155,1.0,0.7495411040802549
53,ABCC11,2.5079187796295628,0.11327544084272531,1.0,0.5220161821179293
54,ABCC12,7.393878773581719,0.00654462068891246,1.0,0.18560460902791548
55,ABCC2,0.00016368211072403938,0.9897922782716565,1.0,0.9987083154505808
56,ABCC3,0.7610286429194275,0.38300680308969015,1.0,0.7775223122088017
57,ABCC4,8.854710813466227e-06,0.9976257490982976,1.0,0.9996991042573359
