,TP53_mutant
ACH-000001,1
ACH-000002,0
ACH-000004,0
ACH-000005,0
ACH-000006,1
ACH-000007,0
ACH-000008,0
ACH-000009,1
ACH-000011,0
ACH-000012,0
ACH-000013,1
ACH-000015,1
ACH-000017,1
ACH-000018,1
ACH-000019,0
ACH-000020,0
ACH-000021,0
ACH-000022,1
ACH-000023,1
ACH-000024,1
ACH-000025,0
ACH-000026,0
ACH-000027,0
ACH-000028,0
ACH-000029,0
ACH-000030,1
ACH-000031,1
ACH-000032,0
ACH-000035,0
ACH-000036,0
ACH-000037,1
ACH-000038,0
ACH-000039,0
ACH-000040,1
ACH-000041,1
ACH-000042,1
ACH-000043,0
ACH-000044,0
ACH-000045,0
ACH-000046,0
ACH-000047,0
ACH-000048,1
ACH-000050,0
ACH-000051,0
ACH-000052,1
ACH-000053,1
ACH-000054,0
ACH-000055,1
ACH-000056,0
ACH-000058,1
ACH-000059,0
ACH-000060,0
ACH-000061,0
ACH-000062,1
ACH-000063,0
ACH-000065,0
ACH-000066,0
ACH-000067,1
ACH-000068,1
ACH-000069,0
ACH-000070,0
ACH-000072,0
ACH-000073,0
ACH-000074,1
ACH-000075,0
ACH-000076,0
ACH-000077,0
ACH-000078,0
ACH-000079,0
ACH-000080,0
ACH-000081,0
ACH-000082,0
ACH-000083,0
ACH-000085,1
ACH-000086,0
ACH-000087,1
ACH-000089,1
ACH-000090,1
ACH-000091,1
ACH-000092,0
ACH-000093,0
ACH-000094,1
ACH-000095,0
ACH-000096,0
ACH-000097,0
ACH-000098,1
ACH-000099,0
ACH-000100,1
ACH-000101,1
ACH-000102,1
ACH-000103,0
ACH-000104,1
ACH-000105,0
ACH-000106,0
ACH-000107,1
ACH-000108,1
ACH-000109,0
ACH-000110,1
ACH-000111,0
ACH-000112,0
ACH-000113,0
ACH-000114,1
ACH-000115,1
ACH-000117,1
ACH-000118,1
ACH-000119,0
ACH-000120,0
ACH-000121,1
ACH-000122,1
ACH-000123,0
ACH-000124,0
ACH-000125,0
ACH-000126,0
ACH-000127,1
ACH-000128,1
ACH-000129,0
ACH-000130,0
ACH-000131,0
ACH-000132,0
ACH-000133,1
ACH-000134,0
ACH-000135,0
ACH-000136,0
ACH-000137,1
ACH-000138,0
ACH-000139,0
ACH-000140,0
ACH-000141,0
ACH-000142,1
ACH-000143,0
ACH-000144,1
ACH-000145,1
ACH-000146,1
ACH-000147,0
ACH-000148,1
ACH-000149,0
